Company,Star Rating,Business Risk
Ameren Corp,3,Average
Apple Inc,4,Average
At&T Inc,2,Average
Bank of New York Mellon Corp,4,Above Average
BlackRock Inc,4,Average
Buckeye Partners,4,Below Average
Cardinal Health Inc,3,Average
CenturyLink Inc,3,Above Average
Cintas Corporation,2,Average
Colgate-Palmolive Company,2,Below Average
Corning Inc,4,Above Average
Darden Restaurants Inc,3,Average
Discover Financial Services,3,Above Average
eBay Inc,3,Average
Endo Health Solutions,4,Above Average
Fair Isaaac Corp,2,Average
Fluor Corp,3,Above Average
Gentex Corporation,5,Average
Group 1 Automotive Inc,2,Above Average
Hess Corp,4,Average
Icon PLC,4,Above Average
International Flavors & Fragrances,3,Average
"John Wiley & Sons, Inc.",4,Average
"Knight Transportation, Inc.",4,Average
Life Technologies corp,4,Average
"Marvell Technology Group, Ltd.",4,Above Average
Methanex Corporation,3,Above Average
Mylan Inc,3,Above Average
New York Times Company,1,Above Average
OfficeMax Inc,1,Above Average
"Owens-Corning, Inc.",3,Above Average
"Polaris Industries, Inc.",3,Above Average
Rio Tinto PLC,5,Average
Sempra Energy,2,Average
Stifel Financial Corp.,3,Above Average
"Texas Instruments, Inc.",4,Average
United Technologies Corp,4,Average
"Weight Watchers International, Inc.",4,Above Average
WR Berkley Corp,4,Average

Yum Brands Inc,3,Average
