IDCliente,Genero,Idoso,PossuiParceiro,PossuiDependentes,MesesDeServico,ServicoTelefonico,MultiplasLinhas,TipoInternet,SegurancaOnline,BackupOnline,ProtecaoDispositivo,SuporteTecnico,StreamingTV,StreamingFilmes,TipoContrato,FaturaDigital,MetodoPagamento,CobrancaMensal,CobrancaTotal,Cancelou
1024-GUALD,Feminino,0,Sim,Não,1,Não,SemServicoTelefonico,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,24.8,24.8,Sim
0484-JPBRU,Masculino,0,Não,Não,41,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Sim,TransferenciaBancariaAutomatica,25.25,996.45,Não
3620-EHIMZ,Feminino,0,Sim,Sim,52,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,19.35,1031.7,Não
6910-HADCM,Feminino,0,Não,Não,1,Sim,Não,FibraOptica,Não,Não,Sim,Não,Não,Não,Mensal,Não,ChequeEletronico,76.35,76.35,Sim
8587-XYZSF,Masculino,0,Não,Não,67,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,Bienal,Não,TransferenciaBancariaAutomatica,50.55,3260.1,Não
6818-WOBHJ,Feminino,1,Sim,Não,68,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Não,Sim,Mensal,Sim,TransferenciaBancariaAutomatica,89.6,6127.6,Sim
3082-YVEKW,Feminino,0,Sim,Sim,23,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Não,Bienal,Sim,TransferenciaBancariaAutomatica,77.15,1759.4,Não
4737-AQCPU,Masculino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,CartaoCreditoAutomatico,72.1,5016.65,Não
4853-RULSV,Masculino,0,Não,Não,70,Sim,Sim,FibraOptica,Sim,Não,Não,Sim,Sim,Sim,Bienal,Sim,CartaoCreditoAutomatico,104.0,7250.15,Sim
5766-ZJYBB,Masculino,0,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,19.4,19.4,Sim
2668-TZSPS,Masculino,0,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,20.45,20.45,Não
3192-LNKRK,Masculino,0,Sim,Sim,34,Sim,Não,FibraOptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,ChequeCorreio,84.05,2909.95,Não
5315-CKEQK,Masculino,1,Sim,Sim,28,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Anual,Sim,ChequeEletronico,51.0,1381.8,Não
5914-DVBWJ,Feminino,1,Não,Não,18,Sim,Sim,FibraOptica,Não,Sim,Não,Sim,Não,Não,Mensal,Sim,ChequeEletronico,85.45,1505.85,Sim
7998-ZLXWN,Feminino,0,Sim,Não,15,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,CartaoCreditoAutomatico,20.45,330.8,Não
6328-ZPBGN,Feminino,1,Não,Não,11,Sim,Sim,FibraOptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,TransferenciaBancariaAutomatica,95.15,997.65,Sim
9530-EHPOH,Masculino,0,Não,Não,11,Sim,Sim,DSL,Não,Não,Sim,Não,Não,Não,Mensal,Não,ChequeEletronico,53.75,608.0,Sim
1853-UDXBW,Masculino,0,Sim,Sim,1,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,70.0,70.0,Sim
2672-TGEFF,Feminino,0,Sim,Sim,37,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,ChequeEletronico,88.8,3340.55,Não
1902-XBTFB,Masculino,0,Não,Sim,22,Sim,Não,FibraOptica,Não,Sim,Sim,Não,Sim,Não,Mensal,Sim,ChequeEletronico,89.4,2001.5,Sim
1640-PLFMP,Feminino,0,Não,Não,1,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,70.25,70.25,Não
3679-XASPY,Feminino,0,Sim,Sim,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeEletronico,19.45,19.45,Não
7356-IWLFW,Masculino,0,Sim,Sim,46,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,TransferenciaBancariaAutomatica,80.0,3769.7,Não
9036-CSKBW,Feminino,0,Não,Não,51,Sim,Sim,FibraOptica,Sim,Sim,Sim,Não,Sim,Sim,Anual,Não,TransferenciaBancariaAutomatica,107.45,5680.9,Não
8952-WCVCD,Feminino,0,Sim,Não,41,Sim,Não,FibraOptica,Sim,Sim,Sim,Não,Sim,Sim,Anual,Sim,TransferenciaBancariaAutomatica,104.45,4162.05,Não
2100-BDNSN,Feminino,0,Sim,Não,5,Sim,Sim,DSL,Não,Não,Sim,Sim,Sim,Não,Mensal,Não,TransferenciaBancariaAutomatica,67.95,350.3,Sim
